Hourly Load
0.19
0.19
0.19
0.2
0.2
0.2
0.23
0.23
0.3
0.33
0.39
0.64
0.77
0.8
0.82
0.76
0.75
0.74
0.74
0.5
0.4
0.25
0.19
0.19
