20,0.0072,0.064,0.99,0.7,268.666616915527,8.25704732502654
40,0.0072,0.064,0.99,0.7,268.666616915527,16.1489001087985
60,0.0072,0.064,0.99,0.7,268.666616915527,24.8848850699679
80,0.0072,0.064,0.99,0.7,268.666616915527,33.3215310438983
100,0.0072,0.064,0.99,0.7,268.666616915527,41.3576685774531
120,0.0072,0.064,0.99,0.7,268.666616915527,49.8002940594904
140,0.0072,0.064,0.99,0.7,268.666616915527,57.0110246983011
160,0.0072,0.064,0.99,0.7,268.666616915527,66.1409614871412
180,0.0072,0.064,0.99,0.7,268.666616915527,74.538847964998
200,0.0072,0.064,0.99,0.7,268.666616915527,82.4016448136146
