num_vehicles,charger_power,energy_vehicle,efficiency,avg_initial_energy,total_savings,total_original_cost
20,0.006,0.04,0.9,0.6,3.0500948988709806e-14,268.6666169155268
20,0.006,0.04,0.9,0.7,3.902586587223312e-14,268.6666169155268
20,0.006,0.04,0.9,0.8,-3.424672931054782,268.6666169155268
20,0.006,0.04,0.95,0.6,0.796883102493078,268.6666169155268
20,0.006,0.04,0.95,0.7,0.7968831024930547,268.6666169155268
20,0.006,0.04,0.95,0.8,0.7373264931045167,268.6666169155268
20,0.006,0.04,0.99,0.6,7.056865524496292,268.6666169155268
20,0.006,0.04,0.99,0.7,6.711977780057983,268.6666169155268
20,0.006,0.04,0.99,0.8,5.526969056040218,268.6666169155268
20,0.006,0.064,0.9,0.6,-1.942222424555772e-15,268.6666169155268
20,0.006,0.064,0.9,0.7,-3.614200952406494e-15,268.6666169155268
20,0.006,0.064,0.9,0.8,-8.90360080576673,268.6666169155268
20,0.006,0.064,0.95,0.6,0.7968831024930578,268.6666169155268
20,0.006,0.064,0.95,0.7,0.7968831024930386,268.6666169155268
20,0.006,0.064,0.95,0.8,0.762112009671333,268.6666169155268
20,0.006,0.064,0.99,0.6,7.131676439999889,268.6666169155268
20,0.006,0.064,0.99,0.7,6.857074934295952,268.6666169155268
20,0.006,0.064,0.99,0.8,6.5358417784027285,268.6666169155268
20,0.006,0.08,0.9,0.6,1.8277254709708755e-14,268.6666169155268
20,0.006,0.08,0.9,0.7,-1.6272131211914063e-14,268.6666169155268
20,0.006,0.08,0.9,0.8,-7.526942177177308e-14,268.6666169155268
20,0.006,0.08,0.95,0.6,0.7968831024930091,268.6666169155268
20,0.006,0.08,0.95,0.7,0.7968831024930174,268.6666169155268
20,0.006,0.08,0.95,0.8,0.7245736326372559,268.6666169155268
20,0.006,0.08,0.99,0.6,7.1316764399998815,268.6666169155268
20,0.006,0.08,0.99,0.7,7.122588157961848,268.6666169155268
20,0.006,0.08,0.99,0.8,6.839923671890701,268.6666169155268
20,0.0072,0.04,0.9,0.6,8.781742694141674e-15,268.6666169155268
20,0.0072,0.04,0.9,0.7,6.491469688174602e-14,268.6666169155268
20,0.0072,0.04,0.9,0.8,-5.579279452061284,268.6666169155268
20,0.0072,0.04,0.95,0.6,0.9387629512696167,268.6666169155268
20,0.0072,0.04,0.95,0.7,0.9246487864122261,268.6666169155268
