num_vehicles,charger_power,energy_vehicle,efficiency,avg_initial_energy,total_savings,total_original_cost
20,0.006,0.04,0.9,0.6,4.1878696691033395e-14,269.15589628439716
20,0.006,0.04,0.9,0.7,2.960114792172064e-14,269.15589628439716
20,0.006,0.04,0.9,0.8,6.055245280883748e-14,269.15589628439716
20,0.006,0.04,0.95,0.6,0.628214999999976,269.15589628439716
20,0.006,0.04,0.95,0.7,0.6275743148295287,269.15589628439716
20,0.006,0.04,0.95,0.8,0.46303770479931894,269.15589628439716
20,0.006,0.04,0.97,0.6,2.819897587416417,269.15589628439716
20,0.006,0.04,0.97,0.7,2.7305590855622177,269.15589628439716
20,0.006,0.04,0.97,0.8,0.22976954947582093,269.15589628439716
20,0.006,0.064,0.9,0.6,-9.244818452436295e-15,269.15589628439716
20,0.006,0.064,0.9,0.7,-3.3455052964037615e-14,269.15589628439716
20,0.006,0.064,0.9,0.8,-4.727932455261819e-14,269.15589628439716
20,0.006,0.064,0.95,0.6,0.6282149999999539,269.15589628439716
20,0.006,0.064,0.95,0.7,0.6282149999999458,269.15589628439716
20,0.006,0.064,0.95,0.8,-1.7924380478413449,269.15589628439716
20,0.006,0.064,0.97,0.6,2.8198975874164214,269.15589628439716
20,0.006,0.064,0.97,0.7,2.8172394537866903,269.15589628439716
20,0.006,0.064,0.97,0.8,2.151265837580257,269.15589628439716
20,0.006,0.08,0.9,0.6,-1.3403210832874097e-14,269.15589628439716
20,0.006,0.08,0.9,0.7,-3.0673380502221897e-14,269.15589628439716
20,0.006,0.08,0.9,0.8,-5.76449478428831e-14,269.15589628439716
20,0.006,0.08,0.95,0.6,0.628214999999948,269.15589628439716
20,0.006,0.08,0.95,0.7,0.6282149999999244,269.15589628439716
20,0.006,0.08,0.95,0.8,0.6137214215208889,269.15589628439716
20,0.006,0.08,0.97,0.6,2.8198975874164427,269.15589628439716
20,0.006,0.08,0.97,0.7,2.726073615636696,269.15589628439716
20,0.006,0.08,0.97,0.8,2.8025782723966683,269.15589628439716
20,0.0072,0.04,0.9,0.6,-2.3746065877516815e-14,269.15589628439716
20,0.0072,0.04,0.9,0.7,1.7759838738529165e-14,269.15589628439716
20,0.0072,0.04,0.9,0.8,3.066331504030309e-14,269.15589628439716
20,0.0072,0.04,0.95,0.6,0.7508432986961264,269.15589628439716
20,0.0072,0.04,0.95,0.7,0.6596440129448753,269.15589628439716
20,0.0072,0.04,0.95,0.8,-1.7606160607126824,269.15589628439716
20,0.0072,0.04,0.97,0.6,3.3838771048996383,269.15589628439716
20,0.0072,0.04,0.97,0.7,3.1647974880645315,269.15589628439716
20,0.0072,0.04,0.97,0.8,1.3027052287239902,269.15589628439716
20,0.0072,0.064,0.9,0.6,-4.080585695731554e-14,269.15589628439716
20,0.0072,0.064,0.9,0.7,6.5141468608143105e-15,269.15589628439716
20,0.0072,0.064,0.9,0.8,3.361640393134691e-14,269.15589628439716
20,0.0072,0.064,0.95,0.6,0.7363217718587126,269.15589628439716
20,0.0072,0.064,0.95,0.7,0.7506446771732731,269.15589628439716
20,0.0072,0.064,0.95,0.8,0.6410020762048869,269.15589628439716
20,0.0072,0.064,0.97,0.6,3.3838771048997422,269.15589628439716
20,0.0072,0.064,0.97,0.7,3.383877104899729,269.15589628439716
20,0.0072,0.064,0.97,0.8,3.214983724160651,269.15589628439716
20,0.0072,0.08,0.9,0.6,-4.1533530087400894e-14,269.15589628439716
20,0.0072,0.08,0.9,0.7,-5.780978994118779e-14,269.15589628439716
20,0.0072,0.08,0.9,0.8,-1.5926236024421664e-14,269.15589628439716
20,0.0072,0.08,0.95,0.6,0.7538579999999391,269.15589628439716
20,0.0072,0.08,0.95,0.7,0.753857999999942,269.15589628439716
20,0.0072,0.08,0.95,0.8,0.7307526862041223,269.15589628439716
20,0.0072,0.08,0.97,0.6,3.3838771048997205,269.15589628439716
20,0.0072,0.08,0.97,0.7,3.3838771048997227,269.15589628439716
20,0.0072,0.08,0.97,0.8,1.0194775711600628,269.15589628439716
20,0.0008,0.04,0.9,0.6,9.883353900910778e-15,269.15589628439716
20,0.0008,0.04,0.9,0.7,-3.570857802157045e-14,269.15589628439716
20,0.0008,0.04,0.9,0.8,-8.292297512708934e-14,269.15589628439716
20,0.0008,0.04,0.95,0.6,0.08376200000003331,269.15589628439716
20,0.0008,0.04,0.95,0.7,0.08376200000004982,269.15589628439716
20,0.0008,0.04,0.95,0.8,0.0837620000000506,269.15589628439716
20,0.0008,0.04,0.97,0.6,0.37598634498884576,269.15589628439716
20,0.0008,0.04,0.97,0.7,0.37598634498884737,269.15589628439716
20,0.0008,0.04,0.97,0.8,0.3759863449887795,269.15589628439716
20,0.0008,0.064,0.9,0.6,-1.0481339103932118e-13,269.15589628439716
20,0.0008,0.064,0.9,0.7,-1.1983033922774445e-13,269.15589628439716
20,0.0008,0.064,0.9,0.8,-1.2992278151761904e-13,269.15589628439716
20,0.0008,0.064,0.95,0.6,0.08376200000004608,269.15589628439716
20,0.0008,0.064,0.95,0.7,0.08376200000004695,269.15589628439716
20,0.0008,0.064,0.95,0.8,0.10437573999999783,269.15589628439716
20,0.0008,0.064,0.97,0.6,0.3759863449887879,269.15589628439716
20,0.0008,0.064,0.97,0.7,0.3759863449887638,269.15589628439716
20,0.0008,0.064,0.97,0.8,0.37598634498874484,269.15589628439716
20,0.0008,0.08,0.9,0.6,-9.988190287878178e-14,269.15589628439716
20,0.0008,0.08,0.9,0.7,-1.2864514141452951e-13,269.15589628439716
20,0.0008,0.08,0.9,0.8,-0.26007744000012667,269.15589628439716
