Hourly Load
0.18
0.18
0.19
0.19
0.19
0.19
0.20
0.21
0.25
0.28
0.36
0.6
0.8
0.85
0.87
0.88
0.88
0.77
0.75
0.55
0.42
0.25
0.19
0.19
