STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,SOURCE,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72287493134,2020-02-09T08:05:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,47,58,,,,,67,,SCT:04 22 OVC:08 30,29.65,10.00,52,100,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09302/09/20 08:05:02 SPECI KCQT 091605Z 10007KT 10SM SCT022 OVC030 14/08 A2985 RMK AO2 T01440083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T08:16:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,47,58,,,,,67,,BKN:07 27 BKN:07 32 OVC:08 75,29.65,9.00,52,70,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/09/20 08:16:02 SPECI KCQT 091616Z 07005KT 9SM BKN027 BKN032 OVC075 14/08 A2985 RMK AO2 T01440083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T08:29:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,47,58,,,,,67,,SCT:04 29 BKN:07 35 BKN:07 75,29.65,7.00,52,100,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/09/20 08:29:02 SPECI KCQT 091629Z 10005KT 7SM SCT029 BKN035 BKN075 14/08 A2985 RMK AO2 T01440083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T08:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,47,58,0.00,,,,67,29.84,FEW:02 80,29.64,7.00,52,100,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09202/09/20 08:52:02 METAR KCQT 091652Z 10005KT 7SM FEW080 14/08 A2984 RMK AO2 SLP105 T01440083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T09:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,47,59,T,-RA:02 |RA |RA,+0.02,6,64,29.83,SCT:04 31 BKN:07 80,29.64,7.00,53,90,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13902/09/20 09:52:02 METAR KCQT 091752Z 09008KT 7SM -RA SCT031 BKN080 15/08 A2984 RMK AO2 RAB45 SLP103 P0000 60000 T01500083 10150 20139 56008,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T10:07:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,47,61,T,,,,60,,BKN:07 22 BKN:07 35 OVC:08 75,29.64,10.00,54,VRB,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11202/09/20 10:07:02 SPECI KCQT 091807Z VRB06KT 10SM BKN022 BKN035 OVC075 16/08 A2984 RMK AO2 RAE00 P0000 T01610083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T10:41:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,48,61,T,,,,63,,SCT:04 22 BKN:07 30 BKN:07 95,29.64,10.00,54,VRB,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11202/09/20 10:41:02 SPECI KCQT 091841Z VRB05KT 10SM SCT022 BKN030 BKN095 16/09 A2984 RMK AO2 RAE00 P0000 T01610089,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T10:44:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,48,61,T,,,,63,,SCT:04 18 BKN:07 23 BKN:07 31,29.64,10.00,54,VRB,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11202/09/20 10:44:02 SPECI KCQT 091844Z VRB05KT 10SM SCT018 BKN023 BKN031 16/09 A2984 RMK AO2 RAE00 P0000 T01610089,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T10:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,48,61,T,,,,63,29.84,SCT:04 18 BKN:07 25 BKN:07 36,29.64,10.00,54,VRB,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11902/09/20 10:52:02 METAR KCQT 091852Z VRB04KT 10SM SCT018 BKN025 BKN036 16/09 A2984 RMK AO2 RAE00 SLP104 P0000 T01610089,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T11:13:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,48,59,,,,,67,,SCT:04 19 BKN:07 35 BKN:07 43,29.64,10.00,53,VRB,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10002/09/20 11:13:02 SPECI KCQT 091913Z VRB05KT 10SM SCT019 BKN035 BKN043 15/09 A2984 RMK AO2 T01500089,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
